group1,group2,meandiff,lower,upper,reject,p-adj,cytokine,group,-log10(p-adj),significant,apoptotic,pyroptotic,apoptotic_vs_pyroptotic,consensus
apoptosis,healthy,0.0925,-0.1854,0.3704,False,0.376,CCL28 [NSU],apoptosis_healthy,0.4248121550723389,False,False,False,False,none
apoptosis,pyroptosis,0.1153,-0.163,0.3936,False,0.2216,CCL28 [NSU],apoptosis_pyroptosis,0.6544302439436078,False,False,False,False,none
healthy,pyroptosis,0.0228,-0.1008,0.1464,False,0.7394,CCL28 [NSU],healthy_pyroptosis,0.131120553762912,False,False,False,False,none
apoptosis,healthy,-0.4087,-0.61,-0.2074,True,0.0,CCL3 [NSU],apoptosis_healthy,4.0,True,True,False,False,apoptotic
apoptosis,pyroptosis,0.2944,0.0928,0.4959,True,0.0,CCL3 [NSU],apoptosis_pyroptosis,4.0,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,0.7031,0.6136,0.7926,True,0.0,CCL3 [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,-0.5601,-0.7198,-0.4004,True,0.0,CCL4 [NSU],apoptosis_healthy,4.0,True,True,False,False,apoptotic
apoptosis,pyroptosis,0.1456,-0.0143,0.3055,False,0.001,CCL4 [NSU],apoptosis_pyroptosis,3.0,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,0.7057,0.6346,0.7767,True,0.0,CCL4 [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,-0.1018,-0.3209,0.1172,False,0.151,CCL5 [NSU],apoptosis_healthy,0.8210230527068306,False,False,False,False,none
apoptosis,pyroptosis,0.4836,0.2643,0.703,True,0.0,CCL5 [NSU],apoptosis_pyroptosis,4.0,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,0.5855,0.4881,0.6829,True,0.0,CCL5 [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,-0.2776,-0.669,0.1137,False,0.0136,CCL7 [NSU],apoptosis_healthy,1.8664610916297824,True,True,False,False,apoptotic
apoptosis,pyroptosis,-0.1162,-0.5081,0.2757,False,0.4595,CCL7 [NSU],apoptosis_pyroptosis,0.3377144842778699,False,False,False,False,none
healthy,pyroptosis,0.1614,-0.0127,0.3355,False,0.0008,CCL7 [NSU],healthy_pyroptosis,3.096910013008056,True,False,True,False,pyroptotic
apoptosis,healthy,-0.3492,-0.6907,-0.0077,True,0.0002,CCL8 [NSU],apoptosis_healthy,3.6989700043360183,True,True,False,False,apoptotic
