,Treatments,oneb_Metadata_Treatment_Dose_Inhibitor_Dose,correlation
185,LPS_Nigericin_100.000_1.000_DMSO_0.025,Disulfiram_0.100_DMSO_0.025,0.997551387453836
186,LPS_Nigericin_100.000_10.000_DMSO_0.025,Disulfiram_0.100_DMSO_0.025,0.9970043944551461
187,LPS_Nigericin_100.000_3.000_DMSO_0.025,Disulfiram_0.100_DMSO_0.025,0.9973907034069713
188,Thapsigargin_1.000_DMSO_0.025,Disulfiram_0.100_DMSO_0.025,0.9987469375083599
189,Thapsigargin_10.000_DMSO_0.025,Disulfiram_0.100_DMSO_0.025,0.9979907828510995
190,Topotecan_10.000_DMSO_0.025,Disulfiram_0.100_DMSO_0.025,0.9990212940039784
191,Topotecan_20.000_DMSO_0.025,Disulfiram_0.100_DMSO_0.025,0.998385851878514
192,Topotecan_5.000_DMSO_0.025,Disulfiram_0.100_DMSO_0.025,0.9984100907865187
193,media ctr_nan_Media ctr_nan,Disulfiram_0.100_DMSO_0.025,0.9984040704021038
194,media ctr_nan_Media_nan,Disulfiram_0.100_DMSO_0.025,0.998358530487172
195,DMSO_0.100_DMSO_0.025,Disulfiram_1.000_DMSO_0.025,0.7921265818980656
196,DMSO_0.100_DMSO_1.000,Disulfiram_1.000_DMSO_0.025,0.980516714006088
197,DMSO_0.100_Z-VAD-FMK_100.000,Disulfiram_1.000_DMSO_0.025,0.9837064693924481
198,DMSO_0.100_Z-VAD-FMK_30.000,Disulfiram_1.000_DMSO_0.025,0.9880503285973997
199,Disulfiram_0.100_DMSO_0.025,Disulfiram_1.000_DMSO_0.025,0.9990262902895208
200,Disulfiram_1.000_DMSO_0.025,Disulfiram_1.000_DMSO_0.025,1.0
201,Disulfiram_2.500_DMSO_0.025,Disulfiram_1.000_DMSO_0.025,0.9997676449986673
202,Flagellin_0.100_DMSO_0.000,Disulfiram_1.000_DMSO_0.025,0.9938247106064386
203,Flagellin_0.100_DMSO_0.025,Disulfiram_1.000_DMSO_0.025,0.9962288606190057
204,Flagellin_1.000_DMSO_0.000,Disulfiram_1.000_DMSO_0.025,0.9983918207117137
205,Flagellin_1.000_DMSO_0.025,Disulfiram_1.000_DMSO_0.025,0.9983868101071098
206,Flagellin_1.000_Disulfiram_1.000,Disulfiram_1.000_DMSO_0.025,0.9984019098378464
207,H2O2_100.000_DMSO_0.025,Disulfiram_1.000_DMSO_0.025,0.9998302309307123
208,H2O2_100.000_Disulfiram_1.000,Disulfiram_1.000_DMSO_0.025,0.9997775817188346
209,H2O2_100.000_Z-VAD-FMK_100.000,Disulfiram_1.000_DMSO_0.025,0.9995181786690254
210,LPS_0.010_DMSO_0.025,Disulfiram_1.000_DMSO_0.025,0.9919653483746622
211,LPS_0.100_DMSO_0.025,Disulfiram_1.000_DMSO_0.025,0.9947472957426975
212,LPS_1.000_DMSO_0.025,Disulfiram_1.000_DMSO_0.025,0.9983314483610222
213,LPS_10.000_DMSO_0.025,Disulfiram_1.000_DMSO_0.025,0.998919619604893
214,LPS_10.000_Disulfiram_0.100,Disulfiram_1.000_DMSO_0.025,0.9991135154837015
215,LPS_10.000_Disulfiram_1.000,Disulfiram_1.000_DMSO_0.025,0.9990405997206481
216,LPS_10.000_Disulfiram_2.500,Disulfiram_1.000_DMSO_0.025,0.9991166048736211
217,LPS_10.000_Z-VAD-FMK_100.000,Disulfiram_1.000_DMSO_0.025,0.9993877013011685
218,LPS_100.000_DMSO_0.025,Disulfiram_1.000_DMSO_0.025,0.9991693836198489
219,LPS_Nigericin_1.000_1.000_DMSO_0.025,Disulfiram_1.000_DMSO_0.025,0.9975634294988445
220,LPS_Nigericin_1.000_10.000_DMSO_0.025,Disulfiram_1.000_DMSO_0.025,0.996908273576306
221,LPS_Nigericin_1.000_10.000_Disulfiram_1.000,Disulfiram_1.000_DMSO_0.025,0.998374017274383
222,LPS_Nigericin_1.000_10.000_Z-VAD-FMK_100.000,Disulfiram_1.000_DMSO_0.025,0.9979846809548114
223,LPS_Nigericin_1.000_3.000_DMSO_0.025,Disulfiram_1.000_DMSO_0.025,0.9978205092917063
224,LPS_Nigericin_100.000_1.000_DMSO_0.025,Disulfiram_1.000_DMSO_0.025,0.9993302936364539
225,LPS_Nigericin_100.000_10.000_DMSO_0.025,Disulfiram_1.000_DMSO_0.025,0.9989843980985493
226,LPS_Nigericin_100.000_3.000_DMSO_0.025,Disulfiram_1.000_DMSO_0.025,0.9992390979550995
227,Thapsigargin_1.000_DMSO_0.025,Disulfiram_1.000_DMSO_0.025,0.9996639321315602
228,Thapsigargin_10.000_DMSO_0.025,Disulfiram_1.000_DMSO_0.025,0.999439265446005
229,Topotecan_10.000_DMSO_0.025,Disulfiram_1.000_DMSO_0.025,0.9998400218591706
230,Topotecan_20.000_DMSO_0.025,Disulfiram_1.000_DMSO_0.025,0.9997613390371791
231,Topotecan_5.000_DMSO_0.025,Disulfiram_1.000_DMSO_0.025,0.99976182808072
232,media ctr_nan_Media ctr_nan,Disulfiram_1.000_DMSO_0.025,0.9997622022904659
233,media ctr_nan_Media_nan,Disulfiram_1.000_DMSO_0.025,0.999738521075832
234,DMSO_0.100_DMSO_0.025,Disulfiram_2.500_DMSO_0.025,0.7836558024691537
235,DMSO_0.100_DMSO_1.000,Disulfiram_2.500_DMSO_0.025,0.9785385954606692
236,DMSO_0.100_Z-VAD-FMK_100.000,Disulfiram_2.500_DMSO_0.025,0.9824866886666503
237,DMSO_0.100_Z-VAD-FMK_30.000,Disulfiram_2.500_DMSO_0.025,0.986440471007508
238,Disulfiram_0.100_DMSO_0.025,Disulfiram_2.500_DMSO_0.025,0.9984360716547969
239,Disulfiram_1.000_DMSO_0.025,Disulfiram_2.500_DMSO_0.025,0.9997676449986673
240,Disulfiram_2.500_DMSO_0.025,Disulfiram_2.500_DMSO_0.025,1.0
241,Flagellin_0.100_DMSO_0.000,Disulfiram_2.500_DMSO_0.025,0.9934828587573438
242,Flagellin_0.100_DMSO_0.025,Disulfiram_2.500_DMSO_0.025,0.995923060661493
243,Flagellin_1.000_DMSO_0.000,Disulfiram_2.500_DMSO_0.025,0.9985732710608628
244,Flagellin_1.000_DMSO_0.025,Disulfiram_2.500_DMSO_0.025,0.9985706961795472
245,Flagellin_1.000_Disulfiram_1.000,Disulfiram_2.500_DMSO_0.025,0.9986379779080121
246,H2O2_100.000_DMSO_0.025,Disulfiram_2.500_DMSO_0.025,0.999946895818901
247,H2O2_100.000_Disulfiram_1.000,Disulfiram_2.500_DMSO_0.025,0.9999425576405235
248,H2O2_100.000_Z-VAD-FMK_100.000,Disulfiram_2.500_DMSO_0.025,0.9998163061251217
249,LPS_0.010_DMSO_0.025,Disulfiram_2.500_DMSO_0.025,0.9920140745011096
250,LPS_0.100_DMSO_0.025,Disulfiram_2.500_DMSO_0.025,0.9949331395068074
251,LPS_1.000_DMSO_0.025,Disulfiram_2.500_DMSO_0.025,0.9986281078374588
252,LPS_10.000_DMSO_0.025,Disulfiram_2.500_DMSO_0.025,0.9993019318063079
253,LPS_10.000_Disulfiram_0.100,Disulfiram_2.500_DMSO_0.025,0.9994322840316359
254,LPS_10.000_Disulfiram_1.000,Disulfiram_2.500_DMSO_0.025,0.9994294991388188
255,LPS_10.000_Disulfiram_2.500,Disulfiram_2.500_DMSO_0.025,0.9994500195373693
256,LPS_10.000_Z-VAD-FMK_100.000,Disulfiram_2.500_DMSO_0.025,0.9996365126982905
257,LPS_100.000_DMSO_0.025,Disulfiram_2.500_DMSO_0.025,0.9995514537196717
258,LPS_Nigericin_1.000_1.000_DMSO_0.025,Disulfiram_2.500_DMSO_0.025,0.9978371437139063
259,LPS_Nigericin_1.000_10.000_DMSO_0.025,Disulfiram_2.500_DMSO_0.025,0.9973256566669174
260,LPS_Nigericin_1.000_10.000_Disulfiram_1.000,Disulfiram_2.500_DMSO_0.025,0.9985058087637174
261,LPS_Nigericin_1.000_10.000_Z-VAD-FMK_100.000,Disulfiram_2.500_DMSO_0.025,0.9981545097661301
262,LPS_Nigericin_1.000_3.000_DMSO_0.025,Disulfiram_2.500_DMSO_0.025,0.998261701846119
